Test Case ID,Module,Priority,Type,Title,Description,Preconditions,Test Steps,Expected Result,Status,Comments
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — GROUP PERMISSIONS (GROUPS) ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-GRP-001,Group Permissions,High,Functional,Owner can edit group details,"Verify owner can update group name/description via API",Owner user exists in group,"1. Create group as uid-1 (owner)
2. PUT /groups/{guid} with onBehalfOf=owner to update name
3. Verify status 200
4. GET /groups/{guid} — verify updated name",Owner can edit group details — 200,Not Automated,
TC-SCOPE-GRP-002,Group Permissions,High,Functional,Admin can edit group details,"Verify admin can update group name/description",Admin user added to group,"1. Add uid-2 as admin to group
2. PUT /groups/{guid} with onBehalfOf=admin-uid to update name
3. Verify status 200",Admin can edit group details — 200,Not Automated,
TC-SCOPE-GRP-003,Group Permissions,High,Functional,Moderator can edit group details,"Verify moderator can update group details (permission=allow)",Moderator user added to group,"1. Add uid-3 as moderator to group
2. PUT /groups/{guid} with onBehalfOf=moderator-uid
3. Verify status 200",Moderator can edit group details — 200,Not Automated,
TC-SCOPE-GRP-004,Group Permissions,High,Functional,Participant can edit group details,"Verify participant can edit group details (permission=allow for participant)",Participant user added to group,"1. Add uid-4 as participant to group
2. PUT /groups/{guid} with onBehalfOf=participant-uid
3. Verify status 200",Participant can edit group details — 200,Not Automated,
TC-SCOPE-GRP-005,Group Permissions,High,Functional,Owner can leave group,"Verify owner can leave group via API",Owner in group,"1. POST /groups/{guid}/members/leave with onBehalfOf=owner
2. Verify status 200 or appropriate response",Owner can leave group,Not Automated,Owner leaving may transfer ownership or delete group
TC-SCOPE-GRP-006,Group Permissions,Medium,Functional,Admin can leave group,"Verify admin can leave group",Admin in group,"1. POST /groups/{guid}/members/leave with onBehalfOf=admin
2. Verify status 200",Admin can leave group,Not Automated,
TC-SCOPE-GRP-007,Group Permissions,Medium,Functional,Moderator can leave group,"Verify moderator can leave group (permission=allow)",Moderator in group,"1. POST /groups/{guid}/members/leave with onBehalfOf=moderator
2. Verify status 200",Moderator can leave group,Not Automated,
TC-SCOPE-GRP-008,Group Permissions,Medium,Functional,Participant can leave group,"Verify participant can leave group (permission=allow)",Participant in group,"1. POST /groups/{guid}/members/leave with onBehalfOf=participant
2. Verify status 200",Participant can leave group,Not Automated,
TC-SCOPE-GRP-009,Group Permissions,Medium,Functional,Owner can load group list,"Verify owner can list groups",Owner user exists,"1. GET /groups with onBehalfOf=owner
2. Verify status 200 with array",Owner can load groups,Not Automated,
TC-SCOPE-GRP-010,Group Permissions,Medium,Functional,Participant can load group list,"Verify participant can list groups (permission=allow)",Participant user exists,"1. GET /groups with onBehalfOf=participant
2. Verify status 200 with array",Participant can load groups,Not Automated,
TC-SCOPE-GRP-011,Group Permissions,Low,Edge Case,Non-member cannot edit group details,"Verify user not in group cannot edit it",User not a member of group,"1. PUT /groups/{guid} with onBehalfOf=non-member-uid
2. Verify status 403 or error",Non-member cannot edit group,Not Automated,
TC-SCOPE-GRP-012,Group Permissions,Low,Edge Case,Owner can create new group,"Verify any authenticated user can create groups (permission=allow for all)",Authenticated user,"1. POST /groups with onBehalfOf=any-uid
2. Verify status 200",Group creation allowed for all roles,Not Automated,
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — MEMBER MANAGEMENT ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-MEM-001,Member Management,High,Functional,Owner can add members to group,"Verify owner can add new members",Owner in group,"1. POST /groups/{guid}/members with onBehalfOf=owner adding uid-new as participant
2. Verify status 200
3. GET /groups/{guid}/members — verify new member listed",Owner can add members — 200,Not Automated,
TC-SCOPE-MEM-002,Member Management,High,Functional,Admin can add members to group,"Verify admin can add new members (permission=allow)",Admin in group,"1. POST /groups/{guid}/members with onBehalfOf=admin adding uid-new
2. Verify status 200",Admin can add members — 200,Not Automated,
TC-SCOPE-MEM-003,Member Management,High,Functional,Moderator can add members to group,"Verify moderator can add members (permission=allow)",Moderator in group,"1. POST /groups/{guid}/members with onBehalfOf=moderator adding uid-new
2. Verify status 200",Moderator can add members — 200,Not Automated,
